iter	Logloss
177	0.5814828035
178	0.5814152316
179	0.5813418707
180	0.5812794079
181	0.5812762424
182	0.5812761145
183	0.581218508
184	0.5811503047
185	0.5810788371
186	0.5810281033
187	0.5809079065
188	0.5808384728
189	0.5807375912
190	0.5806810694
191	0.5805877824
192	0.5805137776
193	0.5804279644
194	0.5804023751
195	0.5803010069
196	0.5802621925
197	0.5801809676
198	0.5801080972
199	0.5799797567
200	0.5799377939
201	0.5798671819
202	0.5797427219
203	0.5796704456
204	0.5796148523
205	0.5795421844
206	0.579475603
207	0.5793978352
208	0.5793288898
209	0.579257036
210	0.5792093777
211	0.579164186
212	0.5791123536
213	0.5790407385
214	0.5790311111
215	0.5789771376
216	0.5788906196
217	0.5788456416
218	0.5787403627
219	0.5786687325
220	0.5786166345
221	0.5785548869
222	0.5784516181
223	0.5783897243
224	0.5783317622
225	0.5782764273
226	0.5782019298
227	0.5781289079
228	0.5780813721
229	0.5780166585
230	0.5779634735
231	0.5778997032
232	0.5778140574
233	0.5777518692
234	0.5776845907
235	0.5776382464
236	0.5775789838
237	0.5774912015
238	0.5774138643
239	0.5773489205
240	0.5772636643
241	0.5771775497
242	0.5770975867
243	0.5770111835
244	0.5769377525
245	0.5768884421
246	0.5768395164
247	0.5767374686
248	0.5766688752
249	0.5765887299
250	0.5765441487
251	0.5764788648
252	0.5764066938
253	0.5763347808
254	0.5762583358
255	0.5761872198
256	0.5761123022
257	0.5760395416
258	0.5759725896
259	0.5759300419
260	0.5757826739
261	0.5757103791
262	0.57562698
263	0.5755583473
264	0.5754859027
265	0.5754260345
266	0.5753643108
267	0.5753014076
268	0.5752348464
269	0.5751594058
270	0.5750774086
271	0.5750260153
272	0.5749301282
273	0.5748698354
274	0.5748107792
275	0.5747313527
276	0.5746417629
277	0.5745601805
278	0.5744865595
279	0.5744023005
280	0.5743251653
281	0.5742562894
282	0.5741765428
283	0.5740831435
284	0.573954048
285	0.5738864762
286	0.5737927773
287	0.5737285588
288	0.5736532165
289	0.5735575533
290	0.5734840169
291	0.5734384883
292	0.5733722984
293	0.5733167927
294	0.5732501996
295	0.5731643552
296	0.5730697538
297	0.5729967766
298	0.5729197044
299	0.5728448838
300	0.572760693
301	0.5726818962
302	0.5726119367
303	0.5725510319
304	0.5724741452
305	0.5724074113
306	0.5723331521
307	0.5722728962
308	0.5722041299
309	0.5721313975
310	0.5720620294
311	0.5719957172
312	0.5719064146
313	0.5718390389
314	0.5717831589
315	0.571722059
316	0.5716653323
317	0.5716113509
318	0.5715280966
319	0.5714766325
320	0.5714089114
321	0.5713535027
322	0.5712681049
323	0.5711918745
324	0.5711300366
325	0.5710726207
326	0.5710304003
327	0.570969351
328	0.5708898503
329	0.5708445488
330	0.5708031205
331	0.5707482694
332	0.5706946891
333	0.5706269497
334	0.5705376655
335	0.5704743809
336	0.5704227926
337	0.5703615559
338	0.5702723974
339	0.5702274061
340	0.5701641673
341	0.5701138252
342	0.5700688762
343	0.5700132471
344	0.5699525182
345	0.5698985751
346	0.5698420961
347	0.5697978291
348	0.5697309118
349	0.5696686794
350	0.5695876842
351	0.5694972505
352	0.5694257158
353	0.5693651478
354	0.5693135792
355	0.5692552246
356	0.5691813276
357	0.5690892228
358	0.5690254333
359	0.5689571671
360	0.5688971671
361	0.568842324
362	0.5687986961
363	0.5687403452
364	0.568680207
365	0.5686016796
366	0.5685002583
367	0.5684383453
368	0.5683908536
369	0.5683278133
370	0.5682901018
371	0.5682391888
372	0.5681597414
373	0.5680710435
374	0.5680133224
375	0.5679408362
376	0.5678910065
377	0.5678418609
378	0.5677701469
379	0.5677138084
380	0.5676494786
381	0.5675998043
382	0.5675387622
383	0.5674652414
384	0.5674033382
385	0.567347279
386	0.567281761
387	0.5672165283
388	0.5671744976
389	0.5671251951
390	0.5670807377
391	0.567008171
392	0.5669798685
393	0.5669211964
394	0.5668580455
395	0.5668227994
396	0.5667448563
397	0.566689045
398	0.5666243632
399	0.5665475198
400	0.5664728452
401	0.5664162826
402	0.5663575624
403	0.566255468
404	0.5662169039
405	0.5661420165
406	0.5660575412
407	0.5660050801
408	0.5659411544
409	0.5658770546
410	0.5658127151
411	0.5657682828
412	0.5657146417
413	0.5656138021
414	0.5655668466
415	0.5654855501
416	0.565397928
417	0.56532878
418	0.5652699081
419	0.5652073865
420	0.5651614099
421	0.5651017241
422	0.5650383653
423	0.5649648422
424	0.5648960932
425	0.5648536906
426	0.564797295
427	0.5647625077
428	0.5646969324
429	0.5646284685
430	0.5645768543
431	0.5645263733
432	0.5644792877
433	0.5644200631
434	0.564369018
435	0.5643254388
436	0.5642966703
437	0.5642165334
438	0.5641379847
439	0.5640814579
440	0.5639872685
441	0.5639178203
442	0.5638531181
443	0.5637925879
444	0.5637219305
445	0.5636569961
446	0.5636032684
447	0.5635600341
448	0.5635023481
449	0.563420294
450	0.5633715323
451	0.5633046733
452	0.5632415315
453	0.5631869089
454	0.5630999843
455	0.5630392616
456	0.5629898904
457	0.5629346477
458	0.5628949068
459	0.5628455692
460	0.5628039592
461	0.5627493118
462	0.5626694386
463	0.5625839638
464	0.5625397906
465	0.5624797456
466	0.5624401748
467	0.5623829437
468	0.5623274488
469	0.5622700873
470	0.562219921
471	0.5621616526
472	0.5621035612
473	0.5620540848
474	0.5619759097
475	0.561910748
476	0.5618536247
477	0.5618042425
478	0.5617453746
479	0.5616968649
480	0.5616404471
481	0.5615834183
482	0.5615469143
483	0.561495551
484	0.5614206171
485	0.5613502316
486	0.5613129227
487	0.5612607375
488	0.5612050868
489	0.5611405494
490	0.5610986694
491	0.5610596991
492	0.5610179245
493	0.5609743435
494	0.5609085873
495	0.5608207056
496	0.5607528375
497	0.5606838368
498	0.5606345201
499	0.560560357
500	0.5605052169
501	0.5604418057
502	0.5603857172
503	0.5603393115
504	0.5602664629
505	0.560184734
506	0.560130836
507	0.5600877162
508	0.5600341404
509	0.559957443
510	0.5599199703
511	0.5598864953
512	0.559830167
513	0.5597679552
514	0.5597142741
515	0.5596803475
516	0.5596217502
517	0.5595416215
518	0.5594907918
519	0.5594366773
520	0.5593900592
521	0.5593511403
522	0.5593012416
523	0.5592499053
524	0.5592153113
525	0.5591014832
526	0.5590384425
527	0.5589780685
528	0.5589357724
529	0.5588797069
530	0.5588403209
531	0.5587871029
532	0.5587273772
533	0.5586572032
534	0.5585911809
535	0.558531558
536	0.5584875906
537	0.5584454787
538	0.5583848135
539	0.5583074602
540	0.5582558944
541	0.5581990555
542	0.5581542537
543	0.5580802543
544	0.5580218593
545	0.5579479246
546	0.5578750076
547	0.5578159064
548	0.5577585445
549	0.5576916895
550	0.5576423854
551	0.5575832184
552	0.5575106037
553	0.557474038
554	0.5574107718
555	0.5573785482
556	0.5573417023
557	0.557300422
558	0.5572380283
559	0.5571982463
560	0.5571396427
561	0.5570928335
562	0.5570374276
563	0.5569880538
564	0.5569378734
565	0.5568834935
566	0.5568319517
567	0.5567766949
568	0.5567208247
569	0.5566794611
570	0.5566434077
571	0.5565919288
572	0.5565383248
573	0.5564789699
574	0.5564251393
575	0.5563934762
576	0.5563533262
577	0.5562894084
578	0.5562455645
579	0.5561865522
580	0.5561527591
581	0.556106919
582	0.5560479192
583	0.555984781
584	0.5559337341
585	0.5558559271
586	0.555802259
587	0.5557469278
588	0.5556683801
589	0.5556062035
590	0.5555385068
591	0.5554955381
592	0.555447422
593	0.5554118732
594	0.5553496721
595	0.5553077508
596	0.5552616383
597	0.5552012222
598	0.555163705
599	0.5551170556
600	0.5550770517
601	0.5550171768
602	0.5549605845
603	0.5549248154
604	0.5548698612
605	0.5548356475
606	0.5547850665
607	0.5547148032
608	0.5546240014
609	0.5545844396
610	0.5545372029
611	0.5544841947
612	0.5544281211
613	0.5543928337
614	0.5543463364
615	0.5542781388
616	0.5542372328
617	0.5541891874
618	0.5541402057
619	0.5540894195
620	0.5540271313
621	0.5539757516
622	0.553911452
623	0.5538523133
624	0.5538176706
625	0.5537531601
626	0.5537031837
627	0.5536349725
628	0.5535657637
629	0.5535073766
630	0.5534506233
631	0.5533983873
632	0.5533436701
633	0.5532905505
634	0.5532308447
635	0.5531868272
636	0.5531299557
637	0.5530687257
638	0.5530210403
639	0.5529595043
640	0.5529133525
641	0.5528696473
642	0.552814155
643	0.5527673093
644	0.5527174957
645	0.5526779819
646	0.5526483646
647	0.5525970002
648	0.5525372482
649	0.5524683786
650	0.5524295546
651	0.5523886074
652	0.5523455934
653	0.5523007192
654	0.5522609331
655	0.5522046557
656	0.5521580876
657	0.5521115393
658	0.552062973
659	0.5520050388
660	0.5519432779
661	0.5518955334
662	0.5518582824
663	0.5517830482
664	0.551728604
665	0.5516687524
666	0.5516074451
667	0.5515462156
668	0.5514960153
669	0.5514446238
670	0.5513731918
671	0.5513287715
672	0.5512914376
673	0.5512318304
674	0.551205546
675	0.5511442736
676	0.5510985147
677	0.5510559559
678	0.5510202836
679	0.5509714791
680	0.5509337502
681	0.550907485
682	0.5508748343
683	0.5508282192
684	0.5507828205
685	0.5507365218
686	0.5506731066
687	0.5506193584
688	0.5505742594
689	0.5505195751
690	0.5504511941
691	0.550366856
692	0.5503103977
693	0.550248063
694	0.5502114017
695	0.5501389412
696	0.5500964311
697	0.5500555504
698	0.5500141766
699	0.5499560921
700	0.5499097293
701	0.5498707114
702	0.5498444389
703	0.5497887002
704	0.5497449146
705	0.5497008325
706	0.5496636463
707	0.5496102519
708	0.5495528811
709	0.5494955199
710	0.5494216534
711	0.5493575925
712	0.5493131044
713	0.5492576254
714	0.5492116677
715	0.549158941
716	0.5491178455
717	0.5490632751
718	0.5490174506
719	0.5489661995
720	0.5489346376
721	0.5488887059
722	0.5488462403
723	0.5487919978
724	0.5487206865
725	0.5486564553
726	0.5486120857
727	0.5485414023
728	0.548480407
729	0.5484417517
730	0.5483960593
731	0.5483490274
732	0.5483123403
733	0.5482747279
734	0.548210715
735	0.5481569606
736	0.5481217346
737	0.5480826357
738	0.5480455354
739	0.5480113959
740	0.5479671423
741	0.5479312913
742	0.5478873264
743	0.5478408457
744	0.5477793185
745	0.5477253062
746	0.5476807683
747	0.5476127302
748	0.5475749279
749	0.5475232367
750	0.5474812434
751	0.5474397451
752	0.5473954629
753	0.5473651237
754	0.5473256722
755	0.54728873
756	0.5472327704
757	0.5471868008
758	0.5471462236
759	0.5471052816
760	0.5470457212
761	0.547028956
762	0.5469786776
763	0.5469223091
764	0.5468870592
765	0.5468183389
766	0.5467887029
767	0.5467531929
768	0.5467014969
769	0.5466515527
770	0.5466123775
771	0.5465797015
772	0.5465188571
773	0.546469165
774	0.5464383723
775	0.5463967088
776	0.5463446873
777	0.5462942114
778	0.5462409959
779	0.5461560947
780	0.5461102592
781	0.5460684309
782	0.5460195075
783	0.5459811473
784	0.5459287548
785	0.5458757147
786	0.5458232593
787	0.545779864
788	0.5457412495
789	0.5457109634
790	0.5456764537
791	0.5456329616
792	0.5455639583
793	0.5455277393
794	0.5454759291
795	0.5454389568
796	0.5453988209
797	0.5453443329
798	0.5452867993
799	0.5452405767
800	0.5451923666
801	0.5451415601
802	0.5451075169
803	0.5450585315
804	0.5450237508
805	0.5449657303
806	0.5449172868
807	0.5448807
808	0.5448335899
809	0.5447956098
810	0.5447381527
811	0.5446935058
812	0.5446644335
813	0.5446099226
814	0.5445650677
815	0.5445197078
816	0.5444747955
817	0.5444303246
818	0.544395455
819	0.5443530529
820	0.5443211582
821	0.5442941513
822	0.5442333164
823	0.5441917473
824	0.5441481614
825	0.5440810262
826	0.544032302
827	0.5439901994
828	0.5439505007
829	0.5439043901
830	0.5438513263
831	0.5438308803
832	0.5437967944
833	0.5437615982
834	0.5436890889
835	0.543646688
836	0.5436162092
837	0.5435707077
838	0.5435415964
839	0.5434968675
840	0.543448467
841	0.5434139257
842	0.5433655378
843	0.5433274111
844	0.5432765132
845	0.5432424999
846	0.5432023648
847	0.5431784772
848	0.5431480493
849	0.5431089266
850	0.5430711827
851	0.5430326906
852	0.5429681109
853	0.5429099316
854	0.5428842678
855	0.5428259364
856	0.5427663527
857	0.5427037906
858	0.5426716038
859	0.5426222488
860	0.5425773487
861	0.5425243832
862	0.542484783
863	0.5424440254
864	0.5423958771
865	0.5423512736
866	0.5422944137
867	0.542246164
868	0.542227035
869	0.5421801434
870	0.5421442072
871	0.5420839898
872	0.5420580707
873	0.5420255007
874	0.541997305
875	0.5419631291
876	0.5419249695
877	0.5418779478
878	0.5418436314
879	0.5417971321
880	0.5417659251
881	0.5417299666
882	0.541668373
883	0.5416236792
884	0.5415864977
885	0.541529999
886	0.5414716822
887	0.5414409545
888	0.5414012317
889	0.5413664994
890	0.541311994
891	0.5412555937
892	0.5412184479
893	0.5411772185
894	0.5411553634
895	0.5411162736
896	0.5410570559
897	0.5410202145
898	0.5409696633
899	0.5409059279
900	0.5408555059
901	0.5408222377
902	0.5407645967
903	0.540726559
904	0.5406517288
905	0.5406155491
906	0.5405821885
907	0.5405378166
908	0.5404921277
909	0.5404578874
910	0.5404214004
911	0.5403643382
912	0.5403147956
913	0.5402719854
914	0.5402362035
915	0.5401523336
916	0.5400955641
917	0.5400680308
918	0.5400350636
919	0.5399977404
920	0.539956489
921	0.5399184819
922	0.5398865456
923	0.5398300984
924	0.5397961496
925	0.5397459498
926	0.5396974723
927	0.5396813529
928	0.5396582036
929	0.5395985661
930	0.5395696712
931	0.5395402234
932	0.5394950131
933	0.5394534109
934	0.539421031
935	0.5393945462
936	0.5393558128
937	0.5392910216
938	0.5392347428
939	0.5391929408
940	0.5391402733
941	0.5390859966
942	0.5390307316
943	0.5389842594
944	0.5389421235
945	0.5389052743
946	0.53885234
947	0.5388079496
948	0.5387539165
949	0.5386927628
950	0.5386187722
951	0.5385647381
952	0.5385204698
953	0.5384819694
954	0.5384363631
955	0.5384085975
956	0.5383731021
957	0.5383277452
958	0.5382799465
959	0.5382346392
960	0.5382146584
961	0.5381458283
962	0.5381073489
963	0.5380658515
964	0.5380333482
965	0.5380059547
966	0.5379477062
967	0.5378988498
968	0.5378325743
969	0.5377822277
970	0.5377365114
971	0.5376816273
972	0.5376568973
973	0.5376113771
974	0.5375568184
975	0.5375220944
976	0.5374825948
977	0.537443199
978	0.5373992225
979	0.5373545466
980	0.5373131544
981	0.5372663453
982	0.5372314192
983	0.5371724668
984	0.537102818
985	0.5370645091
986	0.5370213476
987	0.5369954489
988	0.5369567103
989	0.5368955565
990	0.5368481805
991	0.5368044173
992	0.5367409925
993	0.5366982074
994	0.5366564306
995	0.5366293013
996	0.5365914139
997	0.5365491822
998	0.536507437
999	0.5364645691
